== bua-kandidaten --jaar 2026 --detail (lees-only, kantoorbreed) ==
BUA-kandidaten — 78 administratie(s), boekjaar 2026 (lees-only; kenmerk = `btw_aftrek_uitgesloten`; module = geboekte inkoopfacturen op factuurdatum, bank = geboekte bank-direct-boekingen op boekmoment)
code  rekening                                   adm kenm rlz0 mod_n  mod_netto  mod_btw bank_n bank_netto bank_btw  advies
4014  Kantinekosten                               74    0   74     0       0.00     0.00      0       0.00     0.00  beoordelen — BUA-kantineregeling: aftrek wél, correctie aan het jaareinde bij bevoordeling > € 227 — het kenmerk zet altijd álle btw in de kosten (te conservatief)
BLOw B.V                          4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
BLOw B.V                          4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
BWC Steigers B.V.                 4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
BWC Steigers B.V.                 4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
BWC Steigers B.V.                 4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
BWC Steigers B.V.                 4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Baard beheer & management B.V.    4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Baard beheer & management B.V.    4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Baard beheer & management B.V.    4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Baard beheer & management B.V.    4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Beauty by Tessa Elst              4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Beauty by Tessa Elst              4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Beauty by Tessa Elst              4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Beauty by Tessa Elst              4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Belastingbutler B.V.              4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Belastingbutler B.V.              4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Belastingbutler B.V.              4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Belastingbutler B.V.              4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Beleggingsmaatschappij Meyer BV   4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Beleggingsmaatschappij Meyer BV   4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Beleggingsmaatschappij Meyer BV   4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Beleggingsmaatschappij Meyer BV   4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Betbellat BV                      4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Betbellat BV                      4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Betbellat BV                      4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Betbellat BV                      4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Bouwadvies Oost Nederland B.V.    4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Bouwadvies Oost Nederland B.V.    4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Bouwadvies Oost Nederland B.V.    4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Bouwadvies Oost Nederland B.V.    4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Box Beheer B.V.                   4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Box Beheer B.V.                   4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Box Beheer B.V.                   4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Box Beheer B.V.                   4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Box Invest B.V.                   4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Box Invest B.V.                   4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Box Invest B.V.                   4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Box Invest B.V.                   4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Bradwolff Constructie B.V.        4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Bradwolff Constructie B.V.        4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Bradwolff Constructie B.V.        4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Bradwolff Constructie B.V.        4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Bradwolff Holding B.V.            4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Bradwolff Holding B.V.            4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Bradwolff Holding B.V.            4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Bradwolff Holding B.V.            4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Caravanpark "De Visotter" B.V.    4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Caravanpark "De Visotter" B.V.    4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Caravanpark "De Visotter" B.V.    4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Caravanpark "De Visotter" B.V.    4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Clean Care Arnhem B.V.            4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Clean Care Arnhem B.V.            4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Clean Care Arnhem B.V.            4508  Relatiegeschenken (beperkt aftrekbaar)    uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Clean Care Arnhem B.V.            4510  Representatiekosten (beperkt aftrekbaar)  uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Clean Care Holding B.V.           4014  Kantinekosten                             uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
Clean Care Holding B.V.           4503  Kosten promotie/sponsoring                uit  geen                  geen                       0       0.00     0.00      0       0.00     0.00
