# STAP-0 24-09 — RLZ-rekenregel btw per document (lees-only, nameting.sh rlz-lezen, GET op de gedeployde job-image 1995edd)
# label: V-<verkoopnr> = doorbelasting-verkoop Kempen Facilities (SalesInvoices/{guid}); S-<verkoopnr> = spiegel-inkoop in het doel (PurchaseInvoices/{guid});
#        I-<adm>-<boekstuk> = gewone module-inkoopfactuur (PurchaseInvoices/{uuid5}). Percentages: doorbelasting = vlak 21 % (instelling), inkoop = taxrate_cache van de module.
# H1 = document-btw == Σ per tarief round_half_up(Σ netto × pct); grootste_regel = elke regel round_half_up(netto × pct), de grootste regel (|netto|, eerste bij gelijk) draagt het verschil.
label	n_regels	netto_per_regel	taxamount_rlz_per_regel	TotalNetAmount	TotalTaxAmount	TotalPayableAmount	H1_klopt	grootste_regel_klopt	grootste_rest_klopt	eerste_regel_klopt	half_case	ons_btw	rlz_min_ons_ct	rlz_incl_min_factuur_ct
V-24713293	2	412.77|20.64	86.69|4.33	433.41	91.02	524.43	True	True	False	True	False	91.01	1	
V-24713294	2	10413.22|520.66	2186.77|109.34	10933.88	2296.11	13229.99	True	True	True	True	False	2296.12	-1	
V-24713296	2	11157.03|557.85	2342.97|117.15	11714.88	2460.12	14175.0	True	True	True	True	False	2460.13	-1	
V-24713299	3	177.33|1043.08|61.02	37.24|219.05|12.81	1281.43	269.1	1550.53	True	True	True	True	False	269.10	0	
V-24713301	2	70.99|3.55	14.9|0.75	74.54	15.65	90.19	True	True	False	True	False	15.66	-1	
V-24713305	2	54.8|2.74	11.5|0.58	57.54	12.08	69.62	True	True	False	True	False	12.09	-1	
V-24713310	4	37.18|-2.0|218.71|12.69	7.81|-0.42|45.93|2.66	266.58	55.98	322.56	True	True	True	True	False	55.98	0	
V-24713312	2	4741.55|237.08	995.72|49.79	4978.63	1045.51	6024.14	True	True	True	True	False	1045.52	-1	
V-24713322	2	289.07|14.45	60.71|3.03	303.52	63.74	367.26	True	True	True	True	False	63.73	1	
V-24713323	2	223.97|11.2	47.04|2.35	235.17	49.39	284.56	True	True	True	True	False	49.38	1	
V-24713325	4	4.68|5.26|58.46|3.42	0.98|1.1|12.28|0.72	71.82	15.08	86.9	True	True	True	True	False	15.08	0	
V-24713326	5	236.17|18.89|21.26|-0.7|13.78	49.6|3.97|4.46|-0.15|2.89	289.4	60.77	350.17	True	True	True	True	False	60.77	0	
V-24713328	2	12.94|0.65	2.71|0.14	13.59	2.85	16.44	True	True	False	True	False	2.86	-1	
V-24713329	2	19.5|0.98	4.09|0.21	20.48	4.3	24.78	True	True	True	True	False	4.31	-1	
V-24713330	2	1060.4|53.02	222.69|11.13	1113.42	233.82	1347.24	True	True	False	True	False	233.81	1	
V-24713334	2	367.5|18.38	77.17|3.86	385.88	81.03	466.91	True	True	True	True	False	81.04	-1	
V-24713336	4	75.7|206.25|160.16|22.11	15.9|43.32|33.63|4.64	464.22	97.49	561.71	True	True	False	False	False	97.48	1	
V-24713338	2	1053.45|52.67	221.23|11.06	1106.12	232.29	1338.41	True	True	True	True	False	232.28	1	
V-24713341	2	1053.45|52.67	221.23|11.06	1106.12	232.29	1338.41	True	True	True	True	False	232.28	1	
V-24713342	2	1053.45|52.67	221.23|11.06	1106.12	232.29	1338.41	True	True	True	True	False	232.28	1	
V-24713346	2	4718.75|235.94	990.93|49.55	4954.69	1040.48	5995.17	True	True	False	True	False	1040.49	-1	
V-24713347	2	4741.55|237.08	995.72|49.79	4978.63	1045.51	6024.14	True	True	True	True	False	1045.52	-1	
V-24713348	2	304.21|15.21	63.89|3.19	319.42	67.08	386.5	True	True	True	True	False	67.07	1	
V-24713351	3	2020.0|130.0|107.5	424.2|27.3|22.58	2257.5	474.08	2731.58	True	True	True	True	False	474.08	0	
V-24713352	5	375.0|3840.0|409.5|221.0|242.28	78.75|806.39|86.0|46.41|50.88	5087.78	1068.43	6156.21	True	True	False	False	False	1068.44	-1	
V-24713353	2	2254.7|112.74	473.48|23.68	2367.44	497.16	2864.6	True	True	False	True	False	497.17	-1	
V-24713360	2	82.5|4.13	17.32|0.87	86.63	18.19	104.82	True	True	True	True	False	18.20	-1	
V-24713361	2	145.25|7.26	30.51|1.52	152.51	32.03	184.54	True	True	False	True	False	32.02	1	
V-24713362	3	974.5|339.18|65.68	204.65|71.23|13.79	1379.36	289.67	1669.03	True	True	True	True	False	289.67	0	
V-24713363	3	10.98|13.2|1.21	2.31|2.77|0.25	25.39	5.33	30.72	True	True	True	True	False	5.33	0	
V-24713364	5	10.98|34.8|1.6|23.1|3.52	2.31|7.3|0.34|4.85|0.74	74.0	15.54	89.54	True	True	False	False	False	15.55	-1	
V-24713365	3	410.21|636.06|52.31	86.14|133.57|10.99	1098.58	230.7	1329.28	True	True	True	True	False	230.70	0	
V-24713367	5	274.5|80.42|556.5|1168.8|104.01	57.65|16.89|116.87|245.44|21.84	2184.23	458.69	2642.92	True	True	False	False	False	458.70	-1	
V-24713368	8	834.75|302.6|1986.96|80.42|556.5|80.42|553.09|219.74	175.3|63.55|417.24|16.89|116.87|16.89|116.15|46.15	4614.48	969.04	5583.52	True	True	False	False	False	969.06	-2	
V-24713369	3	1608.38|24.5|81.64	337.76|5.15|17.14	1714.52	360.05	2074.57	True	True	True	True	False	360.05	0	
